receptor,ligand,name,pk
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3coz/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3coz/ligand.sdf,3coz,5.57
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1nc1/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1nc1/ligand.sdf,1nc1,6.12
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cr9/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cr9/ligand.sdf,4cr9,4.10
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qnq/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qnq/ligand.sdf,2qnq,6.11
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1nvq/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1nvq/ligand.sdf,1nvq,8.25
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1gpk/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1gpk/ligand.sdf,1gpk,5.37
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3o9i/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3o9i/ligand.sdf,3o9i,11.82
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ejr/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ejr/ligand.sdf,3ejr,8.57
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4m0y/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4m0y/ligand.sdf,4m0y,6.46
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3twp/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3twp/ligand.sdf,3twp,3.92
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2wer/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2wer/ligand.sdf,2wer,7.05
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1mq6/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1mq6/ligand.sdf,1mq6,11.15
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3wtj/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3wtj/ligand.sdf,3wtj,6.53
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ih7/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ih7/ligand.sdf,4ih7,5.24
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4agn/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4agn/ligand.sdf,4agn,3.97
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g0w/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g0w/ligand.sdf,3g0w,9.52
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f3c/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f3c/ligand.sdf,4f3c,11.82
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3e92/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3e92/ligand.sdf,3e92,8.00
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2v7a/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2v7a/ligand.sdf,2v7a,8.30
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1k1i/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1k1i/ligand.sdf,1k1i,6.58
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1r5y/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1r5y/ligand.sdf,1r5y,6.46
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4u4s/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4u4s/ligand.sdf,4u4s,2.92
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3up2/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3up2/ligand.sdf,3up2,7.40
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1bzc/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1bzc/ligand.sdf,1bzc,4.92
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qbr/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qbr/ligand.sdf,2qbr,6.33
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2x00/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2x00/ligand.sdf,2x00,11.33
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f2w/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f2w/ligand.sdf,4f2w,11.30
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4twp/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4twp/ligand.sdf,4twp,10.00
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3nw9/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3nw9/ligand.sdf,3nw9,9.00
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2j7h/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2j7h/ligand.sdf,2j7h,7.19
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2al5/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2al5/ligand.sdf,2al5,8.40
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f9w/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4f9w/ligand.sdf,4f9w,6.94
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2fxs/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2fxs/ligand.sdf,2fxs,6.06
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2j78/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2j78/ligand.sdf,2j78,6.42
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3k5v/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3k5v/ligand.sdf,3k5v,6.30
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3zsx/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3zsx/ligand.sdf,3zsx,3.28
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1s38/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1s38/ligand.sdf,1s38,5.15
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4lzs/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4lzs/ligand.sdf,4lzs,4.80
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1ps3/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1ps3/ligand.sdf,1ps3,2.28
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1a30/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1a30/ligand.sdf,1a30,4.30
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1qf1/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1qf1/ligand.sdf,1qf1,7.32
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1lpg/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1lpg/ligand.sdf,1lpg,7.09
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2wn9/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2wn9/ligand.sdf,2wn9,8.52
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ryj/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ryj/ligand.sdf,3ryj,7.80
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3uuo/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3uuo/ligand.sdf,3uuo,7.96
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2p4y/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2p4y/ligand.sdf,2p4y,9.00
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2w4x/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2w4x/ligand.sdf,2w4x,4.85
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ciw/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ciw/ligand.sdf,4ciw,4.82
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/5c28/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/5c28/ligand.sdf,5c28,5.66
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2zda/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2zda/ligand.sdf,2zda,8.40
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3pyy/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3pyy/ligand.sdf,3pyy,6.86
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4gfm/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4gfm/ligand.sdf,4gfm,7.22
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3oe5/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3oe5/ligand.sdf,3oe5,6.88
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2cet/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2cet/ligand.sdf,2cet,8.02
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2ymd/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2ymd/ligand.sdf,2ymd,3.16
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4djv/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4djv/ligand.sdf,4djv,6.72
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4kzq/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4kzq/ligand.sdf,4kzq,6.10
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ivb/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ivb/ligand.sdf,4ivb,8.72
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1bcu/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1bcu/ligand.sdf,1bcu,3.28
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3gc5/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3gc5/ligand.sdf,3gc5,7.26
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cra/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cra/ligand.sdf,4cra,7.22
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3d6q/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3d6q/ligand.sdf,3d6q,3.76
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ddh/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ddh/ligand.sdf,4ddh,3.32
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2br1/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2br1/ligand.sdf,2br1,5.14
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1p1q/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1p1q/ligand.sdf,1p1q,4.89
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3tsk/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3tsk/ligand.sdf,3tsk,7.17
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3rr4/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3rr4/ligand.sdf,3rr4,4.55
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1w4o/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1w4o/ligand.sdf,1w4o,5.22
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g31/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g31/ligand.sdf,3g31,2.89
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3lka/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3lka/ligand.sdf,3lka,2.82
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4j28/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4j28/ligand.sdf,4j28,5.70
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1q8t/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1q8t/ligand.sdf,1q8t,4.76
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g2n/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3g2n/ligand.sdf,3g2n,4.09
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1uto/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1uto/ligand.sdf,1uto,2.27
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ivd/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4ivd/ligand.sdf,4ivd,9.52
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3zso/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3zso/ligand.sdf,3zso,5.12
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3dxg/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3dxg/ligand.sdf,3dxg,2.40
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3jya/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3jya/ligand.sdf,3jya,6.89
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4de1/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4de1/ligand.sdf,4de1,5.96
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1q8u/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1q8u/ligand.sdf,1q8u,5.96
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3fcq/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3fcq/ligand.sdf,3fcq,2.77
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3b5r/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3b5r/ligand.sdf,3b5r,8.77
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3nq9/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3nq9/ligand.sdf,3nq9,4.03
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4de3/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4de3/ligand.sdf,4de3,5.52
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1h23/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1h23/ligand.sdf,1h23,8.35
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qbq/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qbq/ligand.sdf,2qbq,7.44
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ozs/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3ozs/ligand.sdf,3ozs,5.33
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qe4/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2qe4/ligand.sdf,2qe4,7.96
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3gbb/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3gbb/ligand.sdf,3gbb,6.90
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cig/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/4cig/ligand.sdf,4cig,3.67
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3mss/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3mss/ligand.sdf,3mss,4.66
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2brb/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/2brb/ligand.sdf,2brb,4.86
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3uri/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/3uri/ligand.sdf,3uri,9.00
/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1z9g/protein.pdb,/xcfhome/zncao02/dataset_bap/test_set/pdbbind/casf_dynaformer/1z9g/ligand.sdf,1z9g,5.64
